"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","formation","geological_group","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","tectonic_setting","geology_comments"
"289592","occ","","","14913","Proxestops silberlingii n. sp.","species","184637","","Proxestops silberlingii","species","67905","Torrejonian","","63.4","60.9","7598","Chordata","Reptilia","Squamata","Anguidae","Proxestops","-109.800003","45.799999","""Fort Union"" (= Lebo)","","""Upper Lebo"" Beds","","not reported","","","","","","terrestrial indet.","",""
"367439","occ","","","34746","Deinonychus antirrhopus","species","","","Deinonychus antirrhopus","species","54555","Aptian","Early Albian","121.4","110.1","9233","Chordata","Reptilia","NO_ORDER_SPECIFIED","Dromaeosauridae","Deinonychus","-108.162003","45.438999","Cloverly","","Little Sheep Mudstone","","not reported","","","","","","terrestrial indet.","",""
"376511","occ","30777","","35510","Triceratops maximus n. sp.","species","56142","species not entered","Ceratopsidae","family","38851","Maastrichtian","","72.2","66","9592","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","","-106.231445","47.721554","Hell Creek","","","""sandstones""","sandstone","","","","","","terrestrial indet.","",""
"384547","occ","","","36608","Saurornitholestes sp.","genus","","","Saurornitholestes","genus","38567","Middle Campanian","","83.6","72.2","9814","Chordata","Reptilia","NO_ORDER_SPECIFIED","Dromaeosauridae","Saurornitholestes","-112.182777","47.812500","Two Medicine","Montana","Hagans Crossing","","claystone","","","sandstone","","","pond","","""sediments largely consisting of fluvial channel sandstones, green to gray overbank mudstones with common paleosol development, and ephemeral floodplain pond deposits...All tyrannosaurid and hadrosaur bones lie horizontally within a 20 cm thick block, green claystone with occasional calcitic nodules and vertical to subvertical burrows...deposition took place in quiet ephemeral waters such as in a floodplain pond. Below the bone-bearing unit lies a green claystone distinguished only by an increased number of molluscs and shell debris. Overlying the bone-bearing unit, sediments gradually coarsen over a 10-15 cm interval to a very fine sandstone with more common calcitic nodules """
"384549","occ","","","36608","Daspletosaurus sp.","genus","","","Daspletosaurus","genus","38608","Middle Campanian","","83.6","72.2","9814","Chordata","Reptilia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","-112.182777","47.812500","Two Medicine","Montana","Hagans Crossing","","claystone","","","sandstone","","","pond","","""sediments largely consisting of fluvial channel sandstones, green to gray overbank mudstones with common paleosol development, and ephemeral floodplain pond deposits...All tyrannosaurid and hadrosaur bones lie horizontally within a 20 cm thick block, green claystone with occasional calcitic nodules and vertical to subvertical burrows...deposition took place in quiet ephemeral waters such as in a floodplain pond. Below the bone-bearing unit lies a green claystone distinguished only by an increased number of molluscs and shell debris. Overlying the bone-bearing unit, sediments gradually coarsen over a 10-15 cm interval to a very fine sandstone with more common calcitic nodules """
"384550","occ","","","36608","Hadrosauridae indet.","family","","","Hadrosauridae","family","38755","Middle Campanian","","83.6","72.2","9814","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","-112.182777","47.812500","Two Medicine","Montana","Hagans Crossing","","claystone","","","sandstone","","","pond","","""sediments largely consisting of fluvial channel sandstones, green to gray overbank mudstones with common paleosol development, and ephemeral floodplain pond deposits...All tyrannosaurid and hadrosaur bones lie horizontally within a 20 cm thick block, green claystone with occasional calcitic nodules and vertical to subvertical burrows...deposition took place in quiet ephemeral waters such as in a floodplain pond. Below the bone-bearing unit lies a green claystone distinguished only by an increased number of molluscs and shell debris. Overlying the bone-bearing unit, sediments gradually coarsen over a 10-15 cm interval to a very fine sandstone with more common calcitic nodules """
"386854","occ","21890","","36934","Azhdarchidae indet.","family","","","Azhdarchidae","family","81005","Late Campanian","","83.6","72.2","30262","Chordata","Reptilia","Pterosauria","Azhdarchidae","","-112.288002","47.768002","Two Medicine","Montana","","well laminated freshwater limestone containing alternating beds of sandstone and mudstone, suggesting a lacustrine environment. The bones were associated with stromatolites and the freshwater pelecypod Unio.","""limestone""","","argillaceous,sandy","","","","lacustrine - large","","It is inferred that the region at the time of deposition was part of a ""proxial lowland"" about 700 km from the mid-continental seaway"
"387266","occ","","","23793","Aves indet.","class","","","Aves","class","36616","Oligocene","","33.9","23.04","6760","Chordata","Aves","","","","-112.500000","45.500000","Renova","Ruby River Basin","Dunbar Creek","The coarse, lens-enclosing sandstone is about 150 ft. thick and overlain by weakly consolidated gravels. It contains numberous small, non-fossiliferous clay or silt pockets, is distinctly cross-bedded at low angles and the only outcrop of this kind in the Fossil Basin. Generally weakly consolidated, the sandstone is packed, however, forming several resistant low ledges, iron-cemented and rust-stained. Mild rain and melting snow is usually redily absorbed by the remaining sandstone. Both, the angular grains of the sandstone and the mica flakes of the lens, suggest a short distance of transportation for the sediments ","""shale""","poorly lithified","silty","sandstone","","","fluvial indet.","",""
"387267","occ","","","23793","Amyzon sp.","genus","","","Amyzon","genus","263676","Oligocene","","33.9","23.04","6760","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Amyzon","-112.500000","45.500000","Renova","Ruby River Basin","Dunbar Creek","The coarse, lens-enclosing sandstone is about 150 ft. thick and overlain by weakly consolidated gravels. It contains numberous small, non-fossiliferous clay or silt pockets, is distinctly cross-bedded at low angles and the only outcrop of this kind in the Fossil Basin. Generally weakly consolidated, the sandstone is packed, however, forming several resistant low ledges, iron-cemented and rust-stained. Mild rain and melting snow is usually redily absorbed by the remaining sandstone. Both, the angular grains of the sandstone and the mica flakes of the lens, suggest a short distance of transportation for the sediments ","""shale""","poorly lithified","silty","sandstone","","","fluvial indet.","",""
"387268","occ","","","23793","Pisces indet.","class","56647","species not entered","Osteichthyes","class","34881","Oligocene","","33.9","23.04","6760","Chordata","Osteichthyes","","","","-112.500000","45.500000","Renova","Ruby River Basin","Dunbar Creek","The coarse, lens-enclosing sandstone is about 150 ft. thick and overlain by weakly consolidated gravels. It contains numberous small, non-fossiliferous clay or silt pockets, is distinctly cross-bedded at low angles and the only outcrop of this kind in the Fossil Basin. Generally weakly consolidated, the sandstone is packed, however, forming several resistant low ledges, iron-cemented and rust-stained. Mild rain and melting snow is usually redily absorbed by the remaining sandstone. Both, the angular grains of the sandstone and the mica flakes of the lens, suggest a short distance of transportation for the sediments ","""shale""","poorly lithified","silty","sandstone","","","fluvial indet.","",""
