"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","formation","geological_group","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","tectonic_setting","geology_comments"
"2072","occ","","","247","Westergaardodina sp.","genus","","","Westergaardodina","genus","33828","Franconian","","497","486.85","51238","Chordata","Conodonta","Paraconodontida","NO_FAMILY_SPECIFIED","Westergaardodina","-110.215553","47.153610","Snowy Range","","Sage","","""limestone""","","","","","","shallow subtidal indet.","cratonic basin","""sh and flat pebble congl, shallow subtidal shelf, BA2, cratonic shelf"""
"2392","occ","","","275","Drepanodus sp.","genus","","","Drepanodus","genus","33904","Tremadoc","","486.4","477.1","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Drepanodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls and congl, muddy shelf lagoon (BA2) cratonic shelf"""
"2564","occ","","","286","Distomodus sp.","genus","","","Distomodus","genus","33901","Arenig","","477.1","468","60989","Chordata","Conodonta","Prioniodontida","Distomodontidae","Distomodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls, and congl. muddy shelf lagoon (BA2) cratonic shelf"""
"2565","occ","","","286","Drepanodus sp.","genus","","","Drepanodus","genus","33904","Arenig","","477.1","468","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Drepanodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls, and congl. muddy shelf lagoon (BA2) cratonic shelf"""
"2566","occ","","","286","Scolopodus sp.","genus","","","Scolopodus","genus","34069","Arenig","","477.1","468","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Scolopodus","-105.591667","47.416668","Deadwood","","","","not reported","","","","","","lagoonal","passive margin","""sh, ls, and congl. muddy shelf lagoon (BA2) cratonic shelf"""
"2598","occ","","","287","Drepanodus sp.","genus","","","Drepanodus","genus","33904","Tulean","","481.7","475.3","60989","Chordata","Conodonta","Protopanderodontida","Protopanderodontidae","Drepanodus","-110.215553","47.153610","Deadwood","","","","""limestone""","","","","","","lagoonal","passive margin","""sh, ls and congl., some ss. shelf lagoon, near shoreface. BA2. Cratonic shelf"""
"8097","occ","","","545","Psammodus sp.","genus","","","Psammodus","genus","34759","Kinderhookian","","358.86","351.9","60995","Chordata","Chondrichthyes","Psammodontiformes","Psammodontidae","Psammodus","-105.591667","47.416668","Alan Mountain Limestone","","upper","","""limestone""","","argillaceous,cherty/siliceous","","","","marine indet.","","""1-3 ft ls beds, some argillaceous partings, cherty.  BA4"""
"8098","occ","","","545","Chondrichthyes indet.","class","","","Chondrichthyes","class","34422","Kinderhookian","","358.86","351.9","60995","Chordata","Chondrichthyes","","","","-105.591667","47.416668","Alan Mountain Limestone","","upper","","""limestone""","","argillaceous,cherty/siliceous","","","","marine indet.","","""1-3 ft ls beds, some argillaceous partings, cherty.  BA4"""
"8740","occ","","","564","Conodontophorida indet.","order","","","Conodontophorida","order","33829","Osagean","","351.9","342.9","60995","Chordata","NO_CLASS_SPECIFIED","Conodontophorida","","","-105.591667","47.416668","Castle Reef Dolomite","","","","""limestone""","","cherty/siliceous","","","","marine indet.","","""ls and dolomitic ls, fairly massive, finely xtalline, some crinoidal beds and chert. BA4"""
"8741","occ","","","564","Chondrichthyes indet.","class","","","Chondrichthyes","class","34422","Osagean","","351.9","342.9","60995","Chordata","Chondrichthyes","","","","-105.591667","47.416668","Castle Reef Dolomite","","","","""limestone""","","cherty/siliceous","","","","marine indet.","","""ls and dolomitic ls, fairly massive, finely xtalline, some crinoidal beds and chert. BA4"""
"9944","occ","","","581","Conodonta indet.","class","","","Conodonta","class","33816","Chesterian","","335.4","323.4","348","Chordata","Conodonta","","","","-111.366669","47.299999","Otter","","","","""limestone""","","calcareous","""shale""","","","offshore","","""red-brn shale; calcareous; calcareouos streaks and limestone nodules are fossiliferous. Intt. w/fine grain light grey ls.).  Shallow, marginal marine conditions may have been more normal marine during deposition of this bed. BA2"""
"11104","occ","","","641","Paleonisciformes indet.","order","","","Paleonisciformes","order","219043","Famennian","","372.15","358.86","61148","Chordata","Actinopterygii","Paleonisciformes","","","-112.539444","46.011391","Sappington","","","","""shale""","","","","","","lagoonal","passive margin","""glossy black shale; fissile.  lagoonal, still water, poor circulation, shallow, very nearshore, 'marshlike,' reducing conditions. shelf (cratonic) BA1? could be BA6"""
"11108","occ","","","641","Conodontophorida indet.","order","","","Conodontophorida","order","33829","Famennian","","372.15","358.86","61148","Chordata","NO_CLASS_SPECIFIED","Conodontophorida","","","-112.539444","46.011391","Sappington","","","","""shale""","","","","","","lagoonal","passive margin","""glossy black shale; fissile.  lagoonal, still water, poor circulation, shallow, very nearshore, 'marshlike,' reducing conditions. shelf (cratonic) BA1? could be BA6"""
"76762","occ","","","5621","cf. Ctenacanthus indet.","genus","","","Ctenacanthus","genus","34489","Serpukhovian","","330.3","323.4","348","Chordata","Chondrichthyes","Ctenacanthiformes","Ctenacanthidae","Ctenacanthus","-110.431114","46.540001","Heath","","","shale, black, fissile, very calcareous, unresistant.","""shale""","poorly lithified","calcareous","","","","offshore","cratonic basin","Some of the upper Heath MAY be estuarine/non-marine as noted by the author.  These localities contain wood and other plant fragments, are non-calcareous and contain no marine fossils.  These localities have been omitted by me."
"76908","occ","","","5641","cf. Ctenacanthus indet.","genus","","","Ctenacanthus","genus","34489","Serpukhovian","","330.3","323.4","348","Chordata","Chondrichthyes","Ctenacanthiformes","Ctenacanthidae","Ctenacanthus","-109.125832","46.669998","Heath","","","limestone, dark gray to black, dense to finely crystalline, well bedded, locally laminated; 2ft layer 3ft above base is siltstone, gray, calcareous, poorly exposed, shaly.","""limestone""","lithified","calcareous","siltstone","","","offshore","cratonic basin","Some of the upper Heath MAY be estuarine/non-marine as noted by the author.  These localities contain wood and other plant fragments, are non-calcareous and contain no marine fossils.  These localities have been omitted by me [MS]."
"76909","occ","","","5641","Cladodus sp.","genus","","","Cladodus","genus","104838","Serpukhovian","","330.3","323.4","348","Chordata","Chondrichthyes","Ctenacanthiformes","Ctenacanthidae","Cladodus","-109.125832","46.669998","Heath","","","limestone, dark gray to black, dense to finely crystalline, well bedded, locally laminated; 2ft layer 3ft above base is siltstone, gray, calcareous, poorly exposed, shaly.","""limestone""","lithified","calcareous","siltstone","","","offshore","cratonic basin","Some of the upper Heath MAY be estuarine/non-marine as noted by the author.  These localities contain wood and other plant fragments, are non-calcareous and contain no marine fossils.  These localities have been omitted by me [MS]."
"89943","occ","","","6714","Ozarkodina sp.","genus","","","Ozarkodina","genus","34002","Chesterian","","335.4","323.4","410","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED","Ozarkodina","-112.000000","45.750000","Big Snowy","","","limestone, grayish-brown; mudstone; beds 20-60 cm thick, scattered fossil fragments","""limestone""","","","mudstone","","","shallow subtidal indet.","",""
"89944","occ","","","6714","Spathognathodus campbelli","species","","recombined as","Vogelgnathus campbelli","species","324267","Chesterian","","335.4","323.4","410","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED","Vogelgnathus","-112.000000","45.750000","Big Snowy","","","limestone, grayish-brown; mudstone; beds 20-60 cm thick, scattered fossil fragments","""limestone""","","","mudstone","","","shallow subtidal indet.","",""
"89964","occ","","","6715","Cavusgnathus alta","genus","","species not entered","Cavusgnathus","genus","33874","Chesterian","","335.4","323.4","410","Chordata","Conodonta","Ozarkodinida","Polygnathidae","Cavusgnathus","-112.000000","45.750000","Big Snowy","","","interbedded limestone and dolostone; limestone medium to dark gray; packstone to grainstone; interbeds 0.2-1.5 m thick; beds 5-30 cm thick; abundant various fossils; chert nodules and lenses abundant; dolomite light gray to light yellow; finely-crystalline; sucrosic; interbeds 0.2-1.5 m thick; beds 5-20 cm thick; poorly resistant, chert nodules and lenses common","packstone","","cherty/siliceous","dolomite","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89965","occ","","","6715","Cavusgnathus naviculus","genus","","species not entered","Cavusgnathus","genus","33874","Chesterian","","335.4","323.4","410","Chordata","Conodonta","Ozarkodinida","Polygnathidae","Cavusgnathus","-112.000000","45.750000","Big Snowy","","","interbedded limestone and dolostone; limestone medium to dark gray; packstone to grainstone; interbeds 0.2-1.5 m thick; beds 5-30 cm thick; abundant various fossils; chert nodules and lenses abundant; dolomite light gray to light yellow; finely-crystalline; sucrosic; interbeds 0.2-1.5 m thick; beds 5-20 cm thick; poorly resistant, chert nodules and lenses common","packstone","","cherty/siliceous","dolomite","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89966","occ","","","6715","Hindeodella sp.","genus","82365","species not entered","Ozarkodina","genus","34002","Chesterian","","335.4","323.4","410","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED","Ozarkodina","-112.000000","45.750000","Big Snowy","","","interbedded limestone and dolostone; limestone medium to dark gray; packstone to grainstone; interbeds 0.2-1.5 m thick; beds 5-30 cm thick; abundant various fossils; chert nodules and lenses abundant; dolomite light gray to light yellow; finely-crystalline; sucrosic; interbeds 0.2-1.5 m thick; beds 5-20 cm thick; poorly resistant, chert nodules and lenses common","packstone","","cherty/siliceous","dolomite","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89967","occ","","","6715","Neoprioniodus sp.","genus","82368","species not entered","Idioprioniodus","genus","33949","Chesterian","","335.4","323.4","410","Chordata","Conodonta","Prioniodinida","Prioniodinidae","Idioprioniodus","-112.000000","45.750000","Big Snowy","","","interbedded limestone and dolostone; limestone medium to dark gray; packstone to grainstone; interbeds 0.2-1.5 m thick; beds 5-30 cm thick; abundant various fossils; chert nodules and lenses abundant; dolomite light gray to light yellow; finely-crystalline; sucrosic; interbeds 0.2-1.5 m thick; beds 5-20 cm thick; poorly resistant, chert nodules and lenses common","packstone","","cherty/siliceous","dolomite","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89976","occ","","","6716","Adetognathus spathus","genus","","species not entered","Adetognathus","genus","33833","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","Cavusgnathidae","Adetognathus","-112.000000","45.750000","Amsden","","","limestone; light to medium gray; beds 1.2-8.0 cm thick near base and 5-20 cm thick towards the top; lime mudstone with abundant fossil material; many fragments and whole fossils; thin beds of black chert in middle","""limestone""","","cherty/siliceous","chert","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89977","occ","","","6716","Adetognathus lautus","genus","","species not entered","Adetognathus","genus","33833","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","Cavusgnathidae","Adetognathus","-112.000000","45.750000","Amsden","","","limestone; light to medium gray; beds 1.2-8.0 cm thick near base and 5-20 cm thick towards the top; lime mudstone with abundant fossil material; many fragments and whole fossils; thin beds of black chert in middle","""limestone""","","cherty/siliceous","chert","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89978","occ","","","6716","Adetognathus gigantus","genus","","species not entered","Adetognathus","genus","33833","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","Cavusgnathidae","Adetognathus","-112.000000","45.750000","Amsden","","","limestone; light to medium gray; beds 1.2-8.0 cm thick near base and 5-20 cm thick towards the top; lime mudstone with abundant fossil material; many fragments and whole fossils; thin beds of black chert in middle","""limestone""","","cherty/siliceous","chert","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89979","occ","","","6716","Hindeodella sp.","genus","82365","species not entered","Ozarkodina","genus","34002","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED","Ozarkodina","-112.000000","45.750000","Amsden","","","limestone; light to medium gray; beds 1.2-8.0 cm thick near base and 5-20 cm thick towards the top; lime mudstone with abundant fossil material; many fragments and whole fossils; thin beds of black chert in middle","""limestone""","","cherty/siliceous","chert","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89980","occ","","","6716","Neoprioniodus sp.","genus","82368","species not entered","Idioprioniodus","genus","33949","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Prioniodinida","Prioniodinidae","Idioprioniodus","-112.000000","45.750000","Amsden","","","limestone; light to medium gray; beds 1.2-8.0 cm thick near base and 5-20 cm thick towards the top; lime mudstone with abundant fossil material; many fragments and whole fossils; thin beds of black chert in middle","""limestone""","","cherty/siliceous","chert","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89981","occ","","","6716","Ozarkodina sp.","genus","","","Ozarkodina","genus","34002","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED","Ozarkodina","-112.000000","45.750000","Amsden","","","limestone; light to medium gray; beds 1.2-8.0 cm thick near base and 5-20 cm thick towards the top; lime mudstone with abundant fossil material; many fragments and whole fossils; thin beds of black chert in middle","""limestone""","","cherty/siliceous","chert","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89982","occ","","","6717","Adetognathus lautus","genus","","species not entered","Adetognathus","genus","33833","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","Cavusgnathidae","Adetognathus","-112.000000","45.750000","Amsden","","","limestone; light gray; beds 5-10 cm thick; mudstone to wackestone; scarce fossils","wackestone","","","lime mudstone","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89983","occ","","","6717","Adetognathus gigantus","genus","","species not entered","Adetognathus","genus","33833","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","Cavusgnathidae","Adetognathus","-112.000000","45.750000","Amsden","","","limestone; light gray; beds 5-10 cm thick; mudstone to wackestone; scarce fossils","wackestone","","","lime mudstone","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89984","occ","","","6717","Hindeodella sp.","genus","82365","species not entered","Ozarkodina","genus","34002","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED","Ozarkodina","-112.000000","45.750000","Amsden","","","limestone; light gray; beds 5-10 cm thick; mudstone to wackestone; scarce fossils","wackestone","","","lime mudstone","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"89985","occ","","","6717","Neoprioniodus sp.","genus","82368","species not entered","Idioprioniodus","genus","33949","Morrowan","","323.4","318.6","410","Chordata","Conodonta","Prioniodinida","Prioniodinidae","Idioprioniodus","-112.000000","45.750000","Amsden","","","limestone; light gray; beds 5-10 cm thick; mudstone to wackestone; scarce fossils","wackestone","","","lime mudstone","","","shallow subtidal indet.","","depositional environment described as ""normal marine"", sediments show signs of ""reworking from tides and storms"""
"134421","occ","","","11273","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Lopingian","","259.51","251.902","4145","Chordata","Osteichthyes","","","","-109.427780","47.062500","Phosphoria","","Tosi Chert","Chert Member with limestone lenses present.","chert","","","""limestone""","","","marine indet.","",""
"134510","occ","","","11275","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Lopingian","","259.51","251.902","4145","Chordata","Osteichthyes","","","","-109.427780","47.062500","Phosphoria","","Retort Phosphatic Shale","phosphatic claystone and dark, fine grained limestone","claystone","","","""limestone""","","","marine indet.","","Fossils bearing shale beds are rare indicating an extremely oxygen poor environment for most of the deposition of the Retort.\r\n"
"134575","occ","","","11276","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Wordian","","266.9","264.28","4145","Chordata","Osteichthyes","","","","-109.427780","47.062500","Shedhorn","","Upper","","sandstone","","","","","","marine indet.","",""
"134728","occ","","","11278","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Wuchiapingian","","259.51","254.14","4145","Chordata","Osteichthyes","","","","-109.427780","47.062500","Phosphoria","","Rex Chert","Chert beds with limestone lenses","chert","","","""limestone""","","","marine indet.","",""
"134756","occ","","","11280","Helicoprion sp.","genus","","","Helicoprion","genus","34459","Roadian","","274.4","266.9","4145","Chordata","Chondrichthyes","Eugeneodontiformes","Helicoprionidae","Helicoprion","-109.427780","47.062500","Phosphoria","","Meade Peak Phosphatic Shale","phosphatic claystone and dark, fine grained limestone.","claystone","","","""limestone""","","","marine indet.","",""
"134763","occ","","","11280","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Roadian","","274.4","266.9","4145","Chordata","Osteichthyes","","","","-109.427780","47.062500","Phosphoria","","Meade Peak Phosphatic Shale","phosphatic claystone and dark, fine grained limestone.","claystone","","","""limestone""","","","marine indet.","",""
"134782","occ","","","11281","Osteichthyes indet.","class","","","Osteichthyes","class","34881","Leonardian","","286","274.4","4145","Chordata","Osteichthyes","","","","-109.427780","47.062500","Park City","","Grandeur","Grainstone altered in some locations to Coarsely Crystaline limestone.","grainstone","","","","","","marine indet.","",""
"139340","occ","","","11931","Ankylosaurus magniventris n. gen. n. sp.","species","","","Ankylosaurus magniventris","species","52793","Late Maastrichtian","","72.2","66","4210","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Ankylosaurus","-106.569901","47.637699","Hell Creek","","","","not reported","","","","","","terrestrial indet.","",""
"147092","occ","","","12977","Stenotholus kohleri n. gen. n. sp.","species","53215","","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.2","66","4306","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Pachycephalosaurus","-106.227776","47.695831","Hell Creek","","","green to buff fine-grained sandstone and siltstone","sandstone","","","siltstone","","","""channel""","","""flat bedding and silty to sandy grain size..suggest sediments deposited lateral to a fluvial channel."""
"147093","occ","","","12977","Hadrosauridae indet.","family","","","Hadrosauridae","family","38755","Maastrichtian","","72.2","66","4306","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","-106.227776","47.695831","Hell Creek","","","green to buff fine-grained sandstone and siltstone","sandstone","","","siltstone","","","""channel""","","""flat bedding and silty to sandy grain size..suggest sediments deposited lateral to a fluvial channel."""
"148355","occ","","","13095","Dryinoides oxyrhachis n. gen. n. sp.","species","","","Dryinoides oxyrhachis","species","99703","Barstovian","","16.3","12.5","4364","Chordata","Reptilia","Squamata","Colubridae","Dryinoides","-111.199997","45.666668","Madison Valley","","Lower Clay","","","","","","","","terrestrial indet.","",""
"148939","occ","","","13142","Lisserpeton bairdi n. gen. n. sp.","species","","","Lisserpeton bairdi","species","67756","Late Maastrichtian","","72.2","66","4377","Chordata","Amphibia","Urodela","Scapherpetontidae","Lisserpeton","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149298","occ","","","13142","Lonchidion selachos","species","","","Lonchidion selachos","species","67744","Late Maastrichtian","","72.2","66","4381","Chordata","Chondrichthyes","Hybodontiformes","Lonchidiidae","Lonchidion","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149299","occ","","","13142","Myledaphus bipartitus","species","","","Myledaphus bipartitus","species","63022","Late Maastrichtian","","72.2","66","4381","Chordata","Chondrichthyes","Rhinopristiformes","Rhinobatidae","Myledaphus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149300","occ","","","13142","Acipenser eruciferus","species","67748","","Acipenser eruciferus","species","67747","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149301","occ","","","13142","Paleopsephurus wilsoni","species","","","Paleopsephurus wilsoni","species","67751","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Acipenseriformes","Polyodontidae","Paleopsephurus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149302","occ","","","13142","Amia sp.","genus","","","Amia","genus","56535","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Amiiformes","Amiidae","Amia","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149303","occ","","","13142","Amia fragosa","species","","","Amia fragosa","species","96524","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Amiiformes","Amiidae","Amia","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149304","occ","","","13142","Belonostomus longirostris","species","69082","","Belonostomus longirostris","species","69081","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Aspidorhynchiformes","Aspidorhynchidae","Belonostomus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149305","occ","","","13142","Lepisosteus occidentalis","species","63033","","Lepisosteus occidentalis","species","67752","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Lepisosteiformes","Lepisosteidae","Lepisosteus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149306","occ","","","13142","Coriops amnicolus","species","","","Coriops amnicolus","species","63043","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Albuliformes","Albulidae","Coriops","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149307","occ","","","13142","cf. Paralbula casei","species","","","Paralbula casei","species","63038","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Elopiformes","Phyllodontidae","Paralbula","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149308","occ","","","13142","Palaeolabrus montanensis","species","","","Palaeolabrus montanensis","species","63607","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","NO_ORDER_SPECIFIED","Palaeolabridae","Palaeolabrus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149309","occ","","","13142","Elopidae indet.","family","","","Elopidae","family","63040","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","Elopiformes","Elopidae","","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149310","occ","","","13142","Platacodon nanus","species","","","Platacodon nanus","species","54217","Late Maastrichtian","","72.2","66","4381","Chordata","Osteichthyes","NO_ORDER_SPECIFIED","Sciaenidae","Platacodon","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149311","occ","","","13142","Habrosaurus dilatus","species","","","Habrosaurus dilatus","species","67757","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Urodela","Sirenidae","Habrosaurus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149312","occ","","","13142","Opisthotriton kayi","species","","","Opisthotriton kayi","species","63051","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Proteida","Batrachosauroididae","Opisthotriton","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149313","occ","","","13142","Scapherpeton tectum","species","","","Scapherpeton tectum","species","63049","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Urodela","Scapherpetontidae","Scapherpeton","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149314","occ","","","13142","Prodesmodon copei","species","","","Prodesmodon copei","species","67754","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Proteida","Batrachosauroididae","Prodesmodon","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149315","occ","","","13142","Proamphiuma cretacea","species","","","Proamphiuma cretacea","species","67755","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Urodela","Amphiumidae","Proamphiuma","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149316","occ","","","13142","Scotiophryne pustulosa n. gen. n. sp.","species","","","Scotiophryne pustulosa","species","63611","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Anura","NO_FAMILY_SPECIFIED","Scotiophryne","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149317","occ","","","13142","cf. Barbourula sp.","genus","","","Barbourula","genus","63624","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Anura","Discoglossidae","Barbourula","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149318","occ","","","13142","Anura indet.","suborder","37422","","Anura","suborder","97112","Late Maastrichtian","","72.2","66","4381","Chordata","Amphibia","Anura","","","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149319","occ","","","13142","Adocus sp.","genus","","","Adocus","genus","37652","Late Maastrichtian","","72.2","66","4381","Chordata","Reptilia","Testudines","Adocidae","Adocus","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149320","occ","","","13142","Compsemys victa","species","","","Compsemys victa","species","63644","Late Maastrichtian","","72.2","66","4381","Chordata","Reptilia","Testudinata","NO_FAMILY_SPECIFIED","Compsemys","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149321","occ","18523","","13142","Trionychidae indet.","family","","","Trionychidae","family","37674","Late Maastrichtian","","72.2","66","18120","Chordata","Reptilia","Testudines","Trionychidae","","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149322","occ","","","13142","Eubaena cephalica","species","63643","","Eubaena cephalica","species","213507","Late Maastrichtian","","72.2","66","704","Chordata","Reptilia","Testudinata","Baenidae","Eubaena","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
"149323","occ","","","13142","Baenidae <indet. undescribed genus and species 1>","family","","","Baenidae","family","37627","Late Maastrichtian","","72.2","66","4381","Chordata","Reptilia","Testudinata","Baenidae","","-106.099998","47.799999","Hell Creek","","","""a cross-bedded stram channel""","sandstone","","","","","","coarse channel fill","","'Coastal plain deposits'"
